X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID
-8575047.9923,4708529.2626,103,MABE,Mary McLeod Bethune Council House National Historic Site,2006/09/21 00:00:00+00,DC,NC,2733422,National Historic Site,Lands,Mary McLeod Bethune Council House,2022/01/06 10:44:24+00,WASO,2022/01/06 10:44:24+00,WASO,3bcbf804-5337-4968-8176-3f636d2c6546
-17472315.9593,2414822.9226,104,KALA,Kalaupapa National Historical Park,2009/01/15 00:00:00+00,HI,PW,365030,National Historical Park,Lands,Kalaupapa,2022/01/06 10:45:11+00,WASO,2022/01/06 10:45:11+00,WASO,8e57393c-88ea-4cd8-b817-cea6a16e5389
-17380596.1653,2356074.7756,105,HALE,Haleakala National Park,2017/01/26 00:00:00+00,HI,PW,358382,National Park,Lands,Haleakala,2022/01/06 10:42:53+00,WASO,2022/01/06 10:42:53+00,WASO,745f5fd9-e7ca-4c70-92ae-c12beccba084
-11099051.8233,4248574.5894,106,WABA,Washita Battlefield National Historic Site,2018/01/24 00:00:00+00,OK,IM,1946144,National Historic Site,Lands,Washita Battlefield,2022/01/06 10:44:35+00,WASO,2022/01/06 10:44:35+00,WASO,97cec3e5-e477-429d-8d69-ad21f5958be0
-17281187.0961,2190652.74,107,HAVO,Hawai'i Volcanoes National Park,2021/06/14 00:00:00+00,HI,PW,365210,National Park,Lands,Hawaii Volcanoes,2022/01/06 10:42:53+00,WASO,2022/01/06 10:42:53+00,WASO,03adb5b9-593a-4cee-9519-3af9dd6dc38d
-12639119.4981,5336165.3244,108,CRMP,Craters of the Moon National Preserve,2017/05/31 00:00:00+00,ID,PW,1986829,National Preserve,Lands,Craters of the Moon,2022/01/06 10:42:32+00,WASO,2022/01/06 10:42:32+00,WASO,a5a42ca3-e7ee-4d07-9c52-57e4f3c893f5
-10325140.8497,5658429.5121,109,LOSA,Lower Saint Croix National Scenic Riverway,2016/05/10 00:00:00+00,WI,MW,2738286,National Scenic Riverway,Lands,Lower Saint Croix,2022/01/06 10:45:11+00,WASO,2022/01/06 10:45:11+00,WASO,11aa4cce-2691-45fd-b056-f750e4448cb7
-9398958.5348,3766808.2601,110,JICA,Jimmy Carter National Historical Park,2015/08/03 00:00:00+00,GA,SE,1888934,National Historical Park,Lands,Jimmy Carter,2022/01/06 10:44:19+00,WASO,2022/01/06 10:44:19+00,WASO,4892c750-58cd-482c-a129-f6ec23f48471
-12172513.3809,3765382.1515,111,CHIR,Chiricahua National Monument,2014/09/10 00:00:00+00,AZ,IM,2877,National Monument,Lands,Chiricahua,2022/01/06 10:42:31+00,WASO,2022/01/06 10:42:31+00,WASO,75e09b6c-9d74-4f5d-ba10-d4d0745c1bed
-17556471.8799,7734040.9937,112,ANIA,Aniakchak National Preserve,2019/03/21 00:00:00+00,AK,AK,1416034,National Preserve,Lands,Aniakchak,2022/01/06 10:41:20+00,WASO,2022/01/06 10:41:20+00,WASO,8bfb59b7-e09f-46ae-a38e-b1903e76542e
-9011851.6979,2910494.3959,113,EVER,Everglades National Park,2019/06/24 00:00:00+00,FL,SE,293666,National Park,Lands,Everglades,2022/01/06 10:42:40+00,WASO,2022/01/06 10:42:40+00,WASO,5a49b1e7-3633-41e7-9023-23b889104aa7
-8623832.3973,4815679.7221,114,CATO,Catoctin Mountain Park,2020/12/03 00:00:00+00,MD,NC,583623,Other Designation,Lands,Catoctin Mountain,2022/01/06 10:42:31+00,WASO,2022/01/06 10:42:31+00,WASO,93c98235-1147-4bf5-8b63-c6df272e779c
-9358035.7861,4837426.1387,115,DAAV,Dayton Aviation Heritage National Historical Park,2013/05/30 00:00:00+00,OH,MW,1083940,National Historical Park,Lands,Dayton Aviation Heritage,2022/01/06 10:44:01+00,WASO,2022/01/06 10:44:01+00,WASO,9d049f21-fbca-43f9-ab5f-65718ee1c6ba
-8576095.4,4705812.1678,116,WWII,World War II Memorial,2011/11/03 00:00:00+00,DC,NC,1989142,National Memorial,Lands,World War II Memorial,2022/01/06 10:44:36+00,WASO,2022/01/06 10:44:36+00,WASO,748cf70a-9c0a-49c8-a3f8-13b1e1761f81
-10398261.129,4453033.5705,117,WICR,Wilson's Creek National Battlefield,2021/02/12 00:00:00+00,MO,MW,735922,National Battlefield,Lands,Wilson's Creek,2022/01/06 10:44:36+00,WASO,2022/01/06 10:44:36+00,WASO,be494a58-0417-43ae-be98-ff09d11c29b9
-9067696.7108,3609319.3543,118,CUIS,Cumberland Island National Seashore,2018/10/16 00:00:00+00,GA,SE,325829,National Seashore,Lands,Cumberland Island,2022/01/06 10:43:53+00,WASO,2022/01/06 10:43:53+00,WASO,b6564cba-2b59-4804-bfc2-7486a70e3b65
-8576412.532,4706057.4475,119,COGA,Constitution Gardens,2011/11/03 00:00:00+00,DC,NC,530610,Other Designation,Lands,Constitution Gardens,2022/01/06 10:42:31+00,WASO,2022/01/06 10:42:31+00,WASO,05cbd412-287a-49f3-ac8c-9cfe36f2dba5
-9529073.2629,4088746.5839,120,LIRI,Little River Canyon National Preserve,2013/04/29 00:00:00+00,AL,SE,1888939,National Preserve,Lands,Little River Canyon,2022/01/06 10:44:23+00,WASO,2022/01/06 10:44:23+00,WASO,3ddfa75d-7f7f-4751-8233-3ceb58a72a3e
-15403272.8508,8208551.8959,121,GLBA,Glacier Bay National Preserve,2019/03/21 00:00:00+00,AK,AK,1416041,National Preserve,Lands,Glacier Bay,2022/01/06 10:42:51+00,WASO,2022/01/06 10:42:51+00,WASO,7e40cd81-bbcc-4455-8d03-b513c8d3efe3
-8576908.6509,4706059.524,122,VIVE,Vietnam Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,531832,National Memorial,Lands,Vietnam Veterans,2022/01/06 10:44:33+00,WASO,2022/01/06 10:44:33+00,WASO,4c2e73fc-6727-43fe-8df7-7b4853c7dab2
-11412397.8872,4659271.7243,123,SAND,Sand Creek Massacre National Historic Site,2012/03/05 00:00:00+00,CO,IM,2127375,National Historic Site,Lands,Sand Creek Massacre,2022/01/06 10:45:03+00,WASO,2022/01/06 10:45:03+00,WASO,dfe9afaf-5f68-4385-9408-e56420fe4f09
-12052951.6624,3925553.8213,124,GICL,Gila Cliff Dwellings National Monument,2004/05/10 00:00:00+00,NM,IM,928945,National Monument,Lands,Gila Cliff Dwellings,2022/01/06 10:42:50+00,WASO,2022/01/06 10:42:50+00,WASO,b6ceb1d5-1aca-4869-bc84-af67aaa59e2f
-12361763.9132,3707335.6876,125,TUMA,Tumacacori National Historical Park,2018/04/05 00:00:00+00,AZ,IM,35519,National Historical Park,Lands,Tumacácori,2022/01/06 10:44:32+00,WASO,2022/01/06 10:44:32+00,WASO,ead0aff9-3d5b-49a6-b6f3-101011b4f3c3
-8614017.0225,4662482.3494,126,PRWI,Prince William Forest Park,2021/12/15 00:00:00+00,VA,NC,1472799,Other Designation,Lands,Prince William Forest,2022/01/06 10:41:18+00,WASO,2022/01/06 10:41:18+00,WASO,8dfd1c27-671a-4c89-a969-dc2df7d61d98
-10169312.5641,5111356.8576,127,HEHO,Herbert Hoover National Historic Site,2019/06/30 00:00:00+00,IA,MW,457629,National Historic Site,Lands,Herbert Hoover,2022/01/06 10:42:53+00,WASO,2022/01/06 10:42:53+00,WASO,7f2d07f9-d0e9-4381-b802-9760527b0bf5
-13039831.8629,4378898.2461,128,DEVA,Death Valley National Park,2020/01/22 00:00:00+00,CA,PW,857501,National Park,Lands,Death Valley,2022/01/06 10:42:33+00,WASO,2022/01/06 10:42:33+00,WASO,95a4d73c-7680-4f29-81b7-9f7b652ef416
-8574456.3771,4706881.7642,129,FOTH,Ford's Theatre National Historic Site,2006/09/21 00:00:00+00,DC,NC,530748,National Historic Site,Lands,Ford's Theatre,2022/01/06 10:42:49+00,WASO,2022/01/06 10:42:49+00,WASO,2a5c7a33-a07d-496d-baf4-94827781fb8d
-8578643.2301,4680231.286,130,GWMP,George Washington Memorial Parkway,2021/12/15 00:00:00+00,VA,NC,584569,National Parkway,Lands,George Washington,2022/01/06 10:41:16+00,WASO,2022/01/06 10:41:16+00,WASO,f0592861-b10b-4a5c-860e-ca84bfbbab13
-9859494.0165,5964793.3705,131,KEWE,Keweenaw National Historical Park,2017/09/19 00:00:00+00,MI,MW,1888937,National Historical Park,Lands,Keweenaw,2022/01/06 10:44:56+00,WASO,2022/01/06 10:44:56+00,WASO,0def2e6e-462d-4477-87a8-77b4b8dc54bc
-12732782.8128,4334324.1394,132,LAKE,Lake Mead National Recreation Area,2018/05/10 00:00:00+00,NV,PW,858265,National Recreation Area,Lands,Lake Mead,2022/01/06 10:44:23+00,WASO,2022/01/06 10:44:23+00,WASO,d04ec3c7-f396-4417-b5bd-b16f0ae2b4cc
-8238124.1229,4970329.8166,133,AFBG,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,African Burial Ground,2022/01/06 10:41:20+00,WASO,2022/01/06 10:41:20+00,WASO,107e28fa-f412-43c6-9ded-df4d890d0389
-12717613.7726,4711247.5825,134,GRBA,Great Basin National Park,2009/09/10 00:00:00+00,NV,PW,862430,National Park,Lands,Great Basin,2022/01/06 10:42:52+00,WASO,2022/01/06 10:42:52+00,WASO,e6582526-ff08-4127-b76d-7f5c62209bad
-8205822.8507,5216309.9811,135,MAVA,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,Martin Van Buren,2022/01/06 10:44:58+00,WASO,2022/01/06 10:44:58+00,WASO,a40c3b44-05f0-4f3b-b211-0664c369662a
-11720388.7898,4709155.3202,136,FLFO,Florissant Fossil Beds National Monument,2021/03/22 00:00:00+00,CO,IM,191398,National Monument,Lands,Florissant Fossil Beds,2022/01/06 10:42:49+00,WASO,2022/01/06 10:42:49+00,WASO,7862146f-7467-48a2-ba74-63412dd22ac9
-17269571.3817,10122891.0743,137,GAAR,Gates of the Arctic National Preserve,2019/03/21 00:00:00+00,AK,AK,1416040,National Preserve,Lands,Gates of the Arctic,2022/01/06 10:42:50+00,WASO,2022/01/06 10:42:50+00,WASO,4b3e5b2d-0650-4407-b345-ba5be9bd8a7c
-13198082.1248,4369137.6452,138,SEQU,Sequoia National Park,2011/10/05 00:00:00+00,CA,PW,266000,National Park,Lands,Sequoia,2022/01/06 10:44:30+00,WASO,2022/01/06 10:44:30+00,WASO,951b80e6-5a31-4228-864b-30c09b32febf
-8611744.3088,4471113.9669,139,PETE,Petersburg National Battlefield,2011/02/02 00:00:00+00,VA,NE,1498529,National Battlefield,Lands,Petersburg,2022/01/06 10:44:26+00,WASO,2022/01/06 10:44:26+00,WASO,b50006b7-8e40-4a2f-9ce9-d1ec6cc5bb6c
-7193459.308,2015180.4607,140,BUIS,Buck Island Reef National Monument,2006/03/20 00:00:00+00,VI,SE,1613756,National Monument,Lands,Buck Island Reef,2022/01/06 10:43:46+00,WASO,2022/01/06 10:43:46+00,WASO,319f5997-af7e-4398-a21e-3d8954157b04
-12657728.9552,5170770.0833,141,CIRO,City of Rocks National Reserve,2007/10/02 00:00:00+00,ID,PW,401309,National Reserve,Lands,City of Rocks,2022/01/06 10:42:31+00,WASO,2022/01/06 10:42:31+00,WASO,916b3e81-2266-4de0-b654-43f7015b6e57
-9684444.5654,4596207.5124,142,LIBO,Lincoln Boyhood National Memorial,2016/03/03 00:00:00+00,IN,MW,446882,National Memorial,Lands,Lincoln Boyhood,2022/01/06 10:44:23+00,WASO,2022/01/06 10:44:23+00,WASO,4646521d-a276-43dc-8e66-beb230a817f2
-7208587.4521,2012172.4117,143,SARI,Salt River Bay National Historical Park and Ecological Preserve,2009/03/05 00:00:00+00,VI,SE,1993989,National Historical Park,Lands,Salt River Bay,2022/01/06 10:45:12+00,WASO,2022/01/06 10:45:12+00,WASO,607e47de-8a51-43ce-a997-1c3c48a67429
-12561819.027,4527824.7116,144,CEBR,Cedar Breaks National Monument,2018/05/04 00:00:00+00,UT,IM,1439558,National Monument,Lands,Cedar Breaks,2022/01/06 10:42:31+00,WASO,2022/01/06 10:42:31+00,WASO,98d61ec1-48f1-4736-890a-5535cea47040
-8859779.3063,4838539.9318,145,FONE,Fort Necessity National Battlefield,2013/09/24 00:00:00+00,PA,NE,1193713,National Battlefield,Lands,Fort Necessity,2022/01/06 10:42:49+00,WASO,2022/01/06 10:42:49+00,WASO,28d2eadd-2519-4969-a158-c49f9d49c492
-9682969.7926,3549313.9286,146,GUIS,Gulf Islands National Seashore,2010/10/05 00:00:00+00,FL,SE,689020,National Seashore,Lands,Gulf Islands,2022/01/06 10:42:53+00,WASO,2022/01/06 10:42:53+00,WASO,249b8ddc-9781-487d-b308-a8584f4322e4
-7911548.044,5214741.706,147,BOAF,Boston African American National Historic Site,2009/03/12 00:00:00+00,MA,NE,1888904,National Historic Site,Lands,Boston African American,2022/01/06 10:43:51+00,WASO,2022/01/06 10:43:51+00,WASO,1aa09d76-eda9-4890-9fe5-e28ea1317e08
-8237830.437,4973152.7135,148,STON,Stonewall National Monument,2016/09/07 00:00:00+00,NY,NE,2781516,National Monument,Lands,Stonewall,2022/01/06 10:45:12+00,WASO,2022/01/06 10:45:12+00,WASO,33a98262-4094-499b-b07a-ec8a2c4c9b9c
-9654537.9051,3798902.5761,149,SEMO,Selma to Montgomery National Historic Trail,2011/05/19 00:00:00+00,AL,SE,2733435,National Historic Trail,Lands,Selma to Montgomery,2022/01/06 10:44:30+00,WASO,2022/01/06 10:44:30+00,WASO,fc9ed1d2-450b-4e38-a3b4-18dd3ddeefd3
-10512017.6321,4216815.1097,150,FOSM,Fort Smith National Historic Site,2017/03/14 00:00:00+00,AR,MW,56686,National Historic Site,Lands,Fort Smith,2022/01/06 10:43:54+00,WASO,2022/01/06 10:43:54+00,WASO,1d3cadbd-1fce-45b6-ac4f-1fffb17ea0fe
